"DW. CENTRALNY", 238039
"CENTRUM", 172986
"METRO POLITECHNIKA", 135043
"METRO MŁOCINY", 114123
"RONDO DASZYŃSKIEGO", 103391
"WARSZAWA OCHOTA", 97342
"METRO ŚWIĘTOKRZYSKA", 95009
"RONDO \"RADOSŁAWA\"", 86677
"METRO RATUSZ ARSENAŁ", 82644
"METRO KABATY", 79155
"WARSZAWA ZACHODNIA", 76944
"METRO POLE MOKOTOWSKIE", 75574
"KRUCZA", 74332
"OKOPOWA", 71202
"METRO WILANOWSKA", 70942
"PL. WILSONA", 67467
"RONDO ONZ", 67371
"PL. GRUNWALDZKI", 66434
"DW. GDAŃSKI", 64446
"PL. STARYNKIEWICZA", 64312
"RZYMOWSKIEGO", 64099
"WIATRACZNA", 63065
"METRO SŁUŻEW", 62880
"WARSZAWA LOTNISKO CHOPINA", 61414
"RONDO UNII EUROPEJSKIEJ", 60557
"PL. ZAWISZY", 59703
"KOSZYKOWA", 59698
"KINO FEMINA", 59250
"WARSZAWA POWIŚLE", 59105
"P+R AL. KRAKOWSKA", 58385
"PARK PRASKI", 54645
"TERMINAL AUTOKAROWY", 53212
"PL. KONSTYTUCJI", 51975
"RONDO ZESŁAŃCÓW SYBERYJSKICH", 51418
"OS. GÓRCZEWSKA", 48949
"METRO RACŁAWICKA", 47934
"METRO MARYMONT", 46417
"DWORKOWA", 46205
"RAKOWIECKA", 44913
"DW. ZACHODNI", 44786
"METRO WIERZBNO", 44216
"NOWOWIEJSKA", 43804
"DW. WILEŃSKI", 43715
"NOWODWORY", 42588
"PKP KASPRZAKA", 41141
"SIELCE", 40599
"MOST PONIATOWSKIEGO", 39930
"ZĄBKOWSKA", 39686
"UNIWERSYTET", 39577
"CH MARKI", 39558
"RONDO WASZYNGTONA", 39435
"WARSZAWA STADION", 39001
"PL. TRZECH KRZYŻY", 38738
"METRO NATOLIN", 38556
"DOMANIEWSKA", 37832
"GRZYMAŁY-SOKOŁOWSKIEGO", 37753
"BITWY WARSZAWSKIEJ 1920 R.", 37565
"METRO IMIELIN", 37199
"CH BLUE CITY", 37089
"MUZEUM NARODOWE", 37005
"WORONICZA", 36854
"PL. ZBAWICIELA", 36491
"WILANÓW", 36294
"SASKA", 35440
"MUZEUM POWSTANIA WARSZAWSKIEGO", 34899
"HALA KOPIŃSKA", 34767
"LEGIONOWO PRZYSTANEK", 34750
"WARSZAWA WSCHODNIA", 34314
"DW. WSCHODNI (KIJOWSKA)", 33921
"WAWELSKA", 33529
"PL. NA ROZDROŻU", 33498
"HOŻA", 33417
"WARSZAWA ŚRÓDMIEŚCIE WKD", 32831
"WOLA-RATUSZ", 32829
"PL. NARUTOWICZA", 32620
