"DW. CENTRALNY", 283408
"CENTRUM", 209669
"METRO POLITECHNIKA", 164227
"RONDO UNII EUROPEJSKIEJ", 142778
"WARSZAWA OCHOTA", 130067
"METRO MŁOCINY", 127505
"RONDO DASZYŃSKIEGO", 118337
"METRO ŚWIĘTOKRZYSKA", 115883
"METRO RATUSZ ARSENAŁ", 109282
"WARSZAWA ZACHODNIA", 108502
"RONDO \"RADOSŁAWA\"", 105222
"KRUCZA", 95723
"OKOPOWA", 88258
"PL. STARYNKIEWICZA", 88073
"METRO POLE MOKOTOWSKIE", 88008
"METRO KABATY", 87396
"RONDO ONZ", 86486
"WARSZAWA LOTNISKO CHOPINA", 85544
"PL. WILSONA", 83310
"PL. GRUNWALDZKI", 81811
"METRO WILANOWSKA", 81034
"WIATRACZNA", 80912
"KOSZYKOWA", 79377
"DW. GDAŃSKI", 77485
"PL. ZAWISZY", 76950
"PARK PRASKI", 75976
"KINO FEMINA", 72820
"METRO SŁUŻEW", 72520
"TERMINAL AUTOKAROWY", 69291
"PL. KONSTYTUCJI", 67631
"P+R AL. KRAKOWSKA", 65992
"RONDO ZESŁAŃCÓW SYBERYJSKICH", 65401
"WARSZAWA POWIŚLE", 65295
"METRO RACŁAWICKA", 63921
"WARSZAWA WSCHODNIA", 60891
"DWORKOWA", 59946
"NOWOWIEJSKA", 57931
"DW. ZACHODNI", 56663
"PKP KASPRZAKA", 55873
"MOST PONIATOWSKIEGO", 55702
"OS. GÓRCZEWSKA", 55449
"RAKOWIECKA", 55106
"DW. WILEŃSKI", 54554
"METRO MARYMONT", 53051
"RONDO WASZYNGTONA", 52389
"PL. TRZECH KRZYŻY", 52085
"SIELCE", 51271
"METRO WIERZBNO", 51141
"BITWY WARSZAWSKIEJ 1920 R.", 50070
"GRZYMAŁY-SOKOŁOWSKIEGO", 49675
"UNIWERSYTET", 49660
"ZĄBKOWSKA", 49565
"DOMANIEWSKA", 49288
"WARSZAWA STADION", 47622
"MUZEUM NARODOWE", 46895
"WORONICZA", 46732
"PL. ZBAWICIELA", 46089
"HALA KOPIŃSKA", 45975
"NOWODWORY", 45122
"WAWELSKA", 44754
"WARSZAWA ŚRÓDMIEŚCIE WKD", 44716
"UNIWERSYTET MEDYCZNY", 44249
"SASKA", 44237
"METRO IMIELIN", 43744
"MUZEUM POWSTANIA WARSZAWSKIEGO", 43334
"PRAGA-PŁD. -RATUSZ", 43158
"ORDYNACKA", 42636
"CH MARKI", 41876
"HOŻA", 41820
"LEGIONOWO PRZYSTANEK", 41477
"METRO NATOLIN", 41436
"PRUSZKOWSKA", 40688
"PL. NA ROZDROŻU", 40682
"SPACEROWA", 40219
"WOLA-RATUSZ", 40150
"PL. NARUTOWICZA", 39984
"WARSZAWA AL. JEROZOLIMSKIE", 39706
"WILANÓW", 39609
"CH BLUE CITY", 38820
"OS. WOLSKA", 38816
"DW. WSCHODNI (KIJOWSKA)", 38031
"BANACHA", 37997
"KIJOWSKA", 37838
"PL. UNII LUBELSKIEJ", 37695
"WARSZAWA ŚRÓDMIEŚCIE", 37688
"ZAJEZDNIA OSTROBRAMSKA", 37368
"BOKSERSKA", 37097
"ARCHIMEDESA", 37027
"POSTĘPU", 36702
"NOWE BEMOWO", 36683
"BRANICKIEGO", 36661
"WARSZAWA LOTN. CHOPINA", 36242
"INŻYNIERSKA", 35564
"ŚWIDER", 35221
"PL. PIŁSUDSKIEGO", 35192
"ŚRÓDBORÓW", 35141
"METRO URSYNÓW", 35078
"HALA MIROWSKA", 34882
"GRODKOWSKA", 34181
"ROZBRAT", 33837
"KRÓLEWSKA", 33753
"DWORZEC WILEŃSKI", 33673
"ŚMIGŁOWCA", 33419
"PARK DRESZERA", 33308
"ZAMIENIECKA", 33225
"PL. BANKOWY", 32885
"MARSZAŁKOWSKA", 32539
"MURANOWSKA", 32432
"ANIELEWICZA", 32131
"STARE MIASTO", 32121
"AL. LOTNIKÓW", 31526
"OCHOTA-RATUSZ", 31397
"RONDO STARZYŃSKIEGO", 31237
"PKP RAKOWIEC", 31194
"LEGIONOWO PIASKI", 31107
"PKP SŁUŻEWIEC", 31049
"METRO STOKŁOSY", 30586
"GÓRALSKA", 30517
"MYŚLIBORSKA", 30355
"WARSZAWA GDAŃSKA", 30237
"GOCŁAWEK", 30175
"HYNKA", 30070
"CHEŁMSKA", 29337
"WARSZAWA WILEŃSKA", 29151
"MŁOCINY-UKSW", 29127
"BASENY INFLANCKA", 29071
"PL. SZEMBEKA", 29046
"SOWIŃSKIEGO", 28878
"ZAJEZDNIA PRAGA", 28863
"WARSZAWA SŁUŻEWIEC", 28812
"ŚLIWICE", 28798
"RADIOWA", 28749
"PKP WKD AL. JEROZOLIMSKIE", 28230
"SZCZĘŚLIWICKA", 27860
"STARE BEMOWO", 27608
"GUS", 27525
"MORSKIE OKO", 27448
"PŁOCKA", 27281
"METRO STARE BIELANY", 27131
"FOKSAL", 27097
"JANA OLBRACHTA", 27049
"KIELECKA", 27016
"MŁYNÓW", 27005
"GOCŁAW", 26924
"DOLNA", 26829
"VOGLA", 26811
"CENTRUM NAUKI KOPERNIK", 26781
"W-WA WESOŁA", 26630
"CZAPELSKA", 26471
"TORWAR", 26416
"ZNANA", 26328
"ZAJEZDNIA WOLA", 26260
"ŻÓŁKIEWSKIEGO", 26223
"STAWKI", 26219
"SULEJÓWEK MIŁOSNA", 26148
"SGGW-REKTORAT", 26117
"DOBRA", 26051
"GORASZEWSKA", 25925
"KRAKOWIAKÓW", 25806
"AL. WITOSA", 25678
"OCH-TEATR", 25537
"RONDO ŻABA", 25374
"BERESTECKA", 25298
"MIĘDZYBORSKA", 25187
"CH TARGÓWEK", 25091
"POŁCZYŃSKA-PARKING P+R", 24836
"MICHALIN", 24836
"INSTYTUT FIZYKI", 24610
"ELEKCYJNA", 24546
"AL. REYMONTA", 24534
"PKP URSUS", 24363
"KAWĘCZYŃSKA-BAZYLIKA", 24148
"WYŚCIGI", 24126
"WOŁOSKA", 24100
"MIĘDZYNARODOWA", 24058
"ŻERAŃ FSO", 23935
"KOROTYŃSKIEGO", 23891
"TRASA ŁAZIENKOWSKA", 23785
"BEMOWO-RATUSZ", 23690
"Warszawa Reduta Ordona", 23543
"WROCŁAWSKA", 23538
"PŁOCHOCIŃSKA", 23381
"WARSZAWA ŻWIRKI I WIGURY", 23316
"ESPERANTO", 23315
"IWICKA", 23148
"DICKENSA", 23015
"SOKOŁOWSKA", 22976
"SZPITAL BIELAŃSKI", 22942
"SZCZĘŚLIWICE", 22891
"WARSZAWA RAKOWIEC", 22821
"WARSZAWA WAWER", 22721
"PARK MOCZYDŁO", 22702
"JADŹWINGÓW", 22480
"CISZEWSKIEGO", 22422
"POMNIK LOTNIKA", 22296
