"DW. CENTRALNY", 317144
"CENTRUM", 204923
"METRO MŁOCINY", 163914
"METRO WILANOWSKA", 144151
"WARSZAWA ZACHODNIA", 141798
"METRO POLITECHNIKA", 137557
"WARSZAWA OCHOTA", 118031
"RONDO DASZYŃSKIEGO", 109652
"METRO ŚWIĘTOKRZYSKA", 109060
"METRO KABATY", 105598
"KRUCZA", 101043
"WARSZAWA POWIŚLE", 99723
"PL. STARYNKIEWICZA", 95390
"PL. WILSONA", 91536
"METRO RATUSZ ARSENAŁ", 87502
"RONDO UNII EUROPEJSKIEJ", 83820
"METRO SŁUŻEW", 83726
"METRO POLE MOKOTOWSKIE", 83605
"WIATRACZNA", 82553
"DW. GDAŃSKI", 77724
"RONDO \"RADOSŁAWA\"", 77123
"RONDO ONZ", 77102
"OS. GÓRCZEWSKA", 76646
"KINO FEMINA", 76176
"PL. ZAWISZY", 74180
"PL. KONSTYTUCJI", 72619
"P+R AL. KRAKOWSKA", 71803
"METRO MARYMONT", 71566
"METRO WIERZBNO", 71373
"OKOPOWA", 70686
"KOSZYKOWA", 69295
"WARSZAWA WSCHODNIA", 69166
"NOWODWORY", 67393
"ZĄBKOWSKA", 66607
"METRO RACŁAWICKA", 66129
"RONDO ZESŁAŃCÓW SYBERYJSKICH", 63343
"PARK PRASKI", 62732
"DW. WILEŃSKI", 55907
"WARSZAWA LOTNISKO CHOPINA", 55265
"DW. ZACHODNI", 54244
"WARSZAWA STADION", 52921
"RONDO WASZYNGTONA", 51208
"WAWELSKA", 50833
"INŻYNIERSKA", 50825
"PL. NARUTOWICZA", 50120
"DWORKOWA", 49937
"PL. BANKOWY", 49109
"WARSZAWA AL. JEROZOLIMSKIE", 46828
"WORONICZA", 46293
"GRZYMAŁY-SOKOŁOWSKIEGO", 45583
"KIJOWSKA", 45349
"PL. GRUNWALDZKI", 45326
"METRO IMIELIN", 45173
"CHEŁMSKA", 44860
"MUZEUM POWSTANIA WARSZAWSKIEGO", 44662
"DW. WSCHODNI (KIJOWSKA)", 44100
"WARSZAWA ŚRÓDMIEŚCIE WKD", 43918
"METRO NATOLIN", 43687
"METRO STARE BIELANY", 43396
"BITWY WARSZAWSKIEJ 1920 R.", 43314
"RADIOWA", 43132
"NOWE BEMOWO", 42998
"WARSZAWA ŚRÓDMIEŚCIE", 42529
"PKP KASPRZAKA", 41837
"WOLA-RATUSZ", 41283
"UNIWERSYTET", 41262
"RONDO STARZYŃSKIEGO", 41242
"METRO URSYNÓW", 41029
"MOST PONIATOWSKIEGO", 40808
"OS. WOLSKA", 40501
"RAKOWIECKA", 40452
"SIELCE", 40430
"BANACHA", 40399
"HOŻA", 40249
"HALA MIROWSKA", 39854
"WARSZAWA GDAŃSKA", 39342
"PL. TRZECH KRZYŻY", 38941
"GOCŁAW", 38880
"ELEKCYJNA", 38802
"STARE MIASTO", 38685
"MUZEUM NARODOWE", 38670
"METRO STOKŁOSY", 38205
"ROZBRAT", 37892
"PL. UNII LUBELSKIEJ", 37890
"DWORZEC WILEŃSKI", 37877
"MARSZAŁKOWSKA", 37875
"STAWKI", 37851
"PL. ZBAWICIELA", 37825
"WILANÓW", 37614
"LEGIONOWO PRZYSTANEK", 37310
"ORDYNACKA", 37164
"SASKA", 36613
"OCH-TEATR", 36385
"ZAMIENIECKA", 35984
"GOCŁAWEK", 35948
"PKP RAKOWIEC", 35766
"AL. REYMONTA", 35520
"PL. NA ROZDROŻU", 35516
"MIĘDZYNARODOWA", 35357
"ZAJEZDNIA WOLA", 35019
"OCHOTA-RATUSZ", 34910
"CZUMY", 34848
"AL. LOTNIKÓW", 34728
"POSTĘPU", 34636
"LOTNISKO CHOPINA-PRZYLOTY", 34548
"KRÓLEWSKA", 34229
"WSPÓLNA DROGA", 34119
"KOROTYŃSKIEGO", 33873
"GUS", 33852
"BEMOWO-RATUSZ", 33771
"UNIWERSYTET MEDYCZNY", 32980
"PRZYCZÓŁEK GROCHOWSKI", 32846
"BRÓDNO-PODGRODZIE", 32552
"MURANOWSKA", 32480
"BOKSERSKA", 32456
"WYŚCIGI", 32148
"HALA KOPIŃSKA", 32035
"MŁYNÓW", 32022
"WROCŁAWSKA", 31991
"ŚWIDER", 31577
"PL. SZEMBEKA", 31275
"SOWIŃSKIEGO", 31038
"SOKOŁOWSKA", 30657
"GÓRALSKA", 30567
"PRUSZKOWSKA", 30479
"PRAGA-PŁD. -RATUSZ", 30277
"PIASKI", 30247
"DICKENSA", 30233
"ŻERAŃ FSO", 30092
"METRO WAWRZYSZEW", 29951
"DYWIZJONU 303", 29909
"SPACEROWA", 29839
"ŚW. BONIFACEGO", 29813
"WARSZAWA ŻWIRKI I WIGURY", 29679
"RONDO ŻABA", 29544
"PARK KASKADA", 29526
"WARSZAWA SŁUŻEWIEC", 29404
"ŻÓŁKIEWSKIEGO", 29189
"WARSZAWA CENTRALNA", 29182
"WARSZAWA RAKOWIEC", 28800
"PARK DRESZERA", 28795
"PŁOCHOCIŃSKA", 28749
"POŁCZYŃSKA-PARKING P+R", 28712
