"DW. CENTRALNY",265906
"CENTRUM",196140
"METRO POLITECHNIKA",154165
"RZYMOWSKIEGO",140586
"METRO MŁOCINY",123184
"RONDO DASZYŃSKIEGO",113852
"WARSZAWA OCHOTA",113063
"RONDO \"RADOSŁAWA\"",103807
"METRO ŚWIĘTOKRZYSKA",101138
"METRO RATUSZ ARSENAŁ",95901
"KRUCZA",88226
"WARSZAWA ZACHODNIA",85969
"OKOPOWA",84492
"METRO KABATY",82813
"PL. GRUNWALDZKI",81718
"METRO POLE MOKOTOWSKIE",80979
"RONDO ONZ",76509
"METRO WILANOWSKA",75302
"PL. WILSONA",74644
"PL. STARYNKIEWICZA",74163
"PL. ZAWISZY",72484
"PARK PRASKI",71864
"KOSZYKOWA",70926
"WIATRACZNA",70485
"WARSZAWA LOTNISKO CHOPINA",69561
"WARSZAWA POWIŚLE",69171
"DW. GDAŃSKI",68713
"KINO FEMINA",68624
"METRO SŁUŻEW",65165
"TERMINAL AUTOKAROWY",63501
"PL. KONSTYTUCJI",62996
"P+R AL. KRAKOWSKA",62940
"RONDO ZESŁAŃCÓW SYBERYJSKICH",59432
"DWORKOWA",56002
"RAKOWIECKA",55503
"METRO RACŁAWICKA",55294
"DW. ZACHODNI",54541
"OS. GÓRCZEWSKA",53888
"NOWOWIEJSKA",52282
"DOMANIEWSKA",52248
"METRO MARYMONT",51481
"DW. WILEŃSKI",49741
"SIELCE",48897
"PKP KASPRZAKA",48458
"BITWY WARSZAWSKIEJ 1920 R.",48447
"METRO WIERZBNO",48284
"MOST PONIATOWSKIEGO",47158
"RONDO WASZYNGTONA",45498
"ZĄBKOWSKA",44636
"GRZYMAŁY-SOKOŁOWSKIEGO",44372
"WORONICZA",43944
"HALA KOPIŃSKA",43638
"WARSZAWA STADION",43486
"NOWODWORY",42984
"MUZEUM POWSTANIA WARSZAWSKIEGO",42946
"WILANÓW",42303
"MUZEUM NARODOWE",42127
"PL. ZBAWICIELA",42089
"PL. TRZECH KRZYŻY",41864
"WAWELSKA",41741
"HOŻA",40703
"UNIWERSYTET",40526
"ZAJEZDNIA OSTROBRAMSKA",40063
"WARSZAWA WSCHODNIA",40009
"PL. NA ROZDROŻU",39928
"CH BLUE CITY",39784
"CH MARKI",39660
"PRAGA-PŁD. -RATUSZ",39271
"WOLA-RATUSZ",39113
"NOWE BEMOWO",38581
"SPACEROWA",38490
"SASKA",38184
"LEGIONOWO PRZYSTANEK",38176
"KIJOWSKA",37695
"METRO IMIELIN",37643
"METRO NATOLIN",37509
"OS. WOLSKA",37410
"PL. UNII LUBELSKIEJ",37052
"PL. NARUTOWICZA",36867
"POSTĘPU",36443
"DW. WSCHODNI (KIJOWSKA)",36407
"ARCHIMEDESA",36406
"GRODKOWSKA",36005
"WARSZAWA ŚRÓDMIEŚCIE WKD",35926
"UNIWERSYTET MEDYCZNY",35702
"ORDYNACKA",35190
"PRUSZKOWSKA",34880
"HALA MIROWSKA",34683
"BRANICKIEGO",34653
"BOKSERSKA",34239
"WARSZAWA AL. JEROZOLIMSKIE",33826
"DWORZEC WILEŃSKI",33613
"KRÓLEWSKA",33313
"ZAMIENIECKA",32942
"WARSZAWA SŁUŻEWIEC",32781
"ŚMIGŁOWCA",32739
"MYŚLIBORSKA",32524
"MURANOWSKA",32294
"PARK DRESZERA",32158
"INŻYNIERSKA",32157
"PL. PIŁSUDSKIEGO",32083
"OTWOCK",31828
"STARE MIASTO",31267
"PKP SŁUŻEWIEC",31167
"METRO URSYNÓW",31037
"VOGLA",31009
"MARSZAŁKOWSKA",30769
"GÓRALSKA",30708
"BANACHA",30651
"WARSZAWA ŚRÓDMIEŚCIE",30322
"RADIOWA",29945
"WARSZAWA LOTN. CHOPINA",29825
"WARSZAWA WILEŃSKA",29463
"SOWIŃSKIEGO",29298
"PL. SZEMBEKA",29199
"AL. LOTNIKÓW",29145
"PKP RAKOWIEC",29031
"MŁOCINY-UKSW",28837
"CHEŁMSKA",28622
"INSTYTUT FIZYKI",28515
"PKP WKD AL. JEROZOLIMSKIE",28384
"DOBRA",28120
"PL. BANKOWY",28050
"BASENY INFLANCKA",27963
"GOCŁAWEK",27763
"GORASZEWSKA",27731
"RONDO STARZYŃSKIEGO",27476
"ANIELEWICZA",27461
"WARSZAWA GDAŃSKA",27373
"SZCZĘŚLIWICKA",27348
"OCHOTA-RATUSZ",27053
"METRO STOKŁOSY",26715
"JANA OLBRACHTA",26654
"LEGIONOWO PIASKI",26559
"STAWKI",26512
"MORSKIE OKO",26361
"DOLNA",26034
"MŁYNÓW",26014
"HYNKA",25991
"AL. WITOSA",25967
"PŁOCKA",25833
"STARE BEMOWO",25693
"ZAJEZDNIA WOLA",25582
"GOCŁAW",25476
"AL. REYMONTA",25389
