"DW. CENTRALNY",301729
"CENTRUM",186951
"METRO MŁOCINY",162360
"METRO WILANOWSKA",133042
"METRO POLITECHNIKA",126989
"WARSZAWA OCHOTA",119415
"METRO ŚWIĘTOKRZYSKA",104518
"RONDO DASZYŃSKIEGO",103534
"METRO KABATY",98472
"WARSZAWA ZACHODNIA",96886
"KRUCZA",91233
"WARSZAWA POWIŚLE",82934
"PL. STARYNKIEWICZA",82610
"PL. WILSONA",81172
"METRO RATUSZ ARSENAŁ",79388
"OS. GÓRCZEWSKA",77980
"RZYMOWSKIEGO",77154
"WIATRACZNA",75670
"RONDO \"RADOSŁAWA\"",75588
"METRO POLE MOKOTOWSKIE",73767
"METRO SŁUŻEW",73478
"KINO FEMINA",70422
"P+R AL. KRAKOWSKA",69093
"RONDO ONZ",69083
"KOSZYKOWA",68658
"NOWODWORY",68423
"DW. GDAŃSKI",67889
"OKOPOWA",67169
"METRO MARYMONT",66790
"PL. ZAWISZY",65601
"PL. KONSTYTUCJI",64060
"ZĄBKOWSKA",63010
"METRO WIERZBNO",59943
"PARK PRASKI",59678
"METRO RACŁAWICKA",58334
"RONDO ZESŁAŃCÓW SYBERYJSKICH",56402
"DW. ZACHODNI",51301
"WARSZAWA WSCHODNIA",50654
"WAWELSKA",48931
"DW. WILEŃSKI",48571
"DW. WSCHODNI (KIJOWSKA)",47297
"PL. NARUTOWICZA",47088
"WARSZAWA STADION",46109
"WARSZAWA LOTNISKO CHOPINA",45800
"DWORKOWA",45527
"KIJOWSKA",45478
"GRZYMAŁY-SOKOŁOWSKIEGO",44655
"NOWE BEMOWO",44396
"RONDO WASZYNGTONA",44112
"CHEŁMSKA",43373
"PL. GRUNWALDZKI",43354
"INŻYNIERSKA",42928
"WORONICZA",42571
"RADIOWA",41938
"METRO NATOLIN",41888
"MUZEUM POWSTANIA WARSZAWSKIEGO",41011
"BITWY WARSZAWSKIEJ 1920 R.",40835
"DWORZEC WILEŃSKI",40342
"HOŻA",40055
"WOLA-RATUSZ",39793
"WARSZAWA ŚRÓDMIEŚCIE WKD",39726
"WARSZAWA AL. JEROZOLIMSKIE",39613
"METRO STARE BIELANY",39441
"GOCŁAW",39152
"HALA MIROWSKA",39079
"METRO IMIELIN",38882
"OS. WOLSKA",37914
"METRO URSYNÓW",37794
"SIELCE",37639
"RAKOWIECKA",37556
"PL. BANKOWY",37538
"RONDO STARZYŃSKIEGO",37462
"STAWKI",37260
"WILANÓW",36750
"MOST PONIATOWSKIEGO",36473
"PKP KASPRZAKA",36397
"STARE MIASTO",36008
"BRÓDNO-PODGRODZIE",35881
"MUZEUM NARODOWE",35663
"UNIWERSYTET",35522
"ELEKCYJNA",35514
"AL. REYMONTA",35472
"WARSZAWA ŚRÓDMIEŚCIE",35427
"KRÓLEWSKA",35414
"GOCŁAWEK",35309
"OCH-TEATR",35091
"LEGIONOWO PRZYSTANEK",35059
"ZAMIENIECKA",34973
"ROZBRAT",34874
"PKP RAKOWIEC",34727
"PL. UNII LUBELSKIEJ",34632
"SASKA",34529
"PL. TRZECH KRZYŻY",34114
"POSTĘPU",33847
"MIĘDZYNARODOWA",33834
"PL. ZBAWICIELA",33828
"CZUMY",33487
"ZAJEZDNIA WOLA",33412
"WSPÓLNA DROGA",33310
"METRO STOKŁOSY",33263
"BEMOWO-RATUSZ",33229
"KOROTYŃSKIEGO",33176
"OTWOCK",32876
"WROCŁAWSKA",32223
"AL. LOTNIKÓW",32052
"LOTNISKO CHOPINA-PRZYLOTY",31971
"PL. NA ROZDROŻU",31479
"PRZYCZÓŁEK GROCHOWSKI",31475
"BANACHA",31446
"MARSZAŁKOWSKA",31092
"HALA KOPIŃSKA",31055
"WARSZAWA GDAŃSKA",31007
"BOKSERSKA",30998
"PL. SZEMBEKA",30980
"MŁYNÓW",30853
"WARSZAWA SŁUŻEWIEC",30727
"MURANOWSKA",30712
"GÓRALSKA",30657
"ŚMIGŁOWCA",30208
"SOWIŃSKIEGO",30110
"PIASKI",29849
"OCHOTA-RATUSZ",29783
"ORDYNACKA",29702
"DICKENSA",29679
"ŚW. BONIFACEGO",29590
"DOBRA",29289
"WYŚCIGI",29255
"HALA WOLA",29116
"DYWIZJONU 303",28970
"SOKOŁOWSKA",28904
"WŁOŚCIAŃSKA",28669
"GUS",28662
"RONDO ŻABA",28553
"ŻERAŃ FSO",28491
"PARK DRESZERA",28207
"METRO WAWRZYSZEW",28056
"SPACEROWA",27917
"PARK OLSZYNA",27766
"PARK KASKADA",27765
"WARSZAWA RAKOWIEC",27472
"ŻÓŁKIEWSKIEGO",27438
"SZPITAL BRÓDNOWSKI",27068
"CYBERNETYKI",26513
"PRAGA-PŁD. -RATUSZ",26224
"POŁCZYŃSKA-PARKING P+R",26160
"UNIWERSYTET MEDYCZNY",26150
"POLIGONOWA",25863
"ZNANA",25658
"KLEMENSIEWICZA",25386
"JANA OLBRACHTA",25173
"WARSZAWA ŻWIRKI I WIGURY",25111
"LEGIONOWO PIASKI",25093
"MANGALIA",25090
"PŁOCKA",25006
"PŁOCHOCIŃSKA",24783
"SZPITAL WOLSKI",24765
"BRANICKIEGO",24699
"WARSZAWA WILEŃSKA",24514
"PRUSZKOWSKA",24490
"KONARSKIEGO",24352
"KAWĘCZYŃSKA-BAZYLIKA",24174
"HYNKA",23854
"INSTYTUT FIZYKI",23803
"DOLINA SŁUŻEWIECKA",23687
"POWĄZKOWSKA",23638
"NISKA",23498
"METRO SŁODOWIEC",23434
"BASENY INFLANCKA",23421
"SADY ŻOLIBORSKIE",23395
"MEHOFFERA",23303
"OGRODY DZIAŁKOWE BEMOWO",23237
"NOWOWIEJSKA",23109
"PARK TRAUGUTTA",23102
"EMILII PLATER",22967
"AL. ZIELENIECKA",22892
"CZAPELSKA",22567
"SADYBA",22533
"BORA-KOMOROWSKIEGO",22516
"PKP WKD AL. JEROZOLIMSKIE",22482
"FORT WOLA",22385
"TORUŃSKA",22366
"AL. WITOSA",22321
"ANIELEWICZA",22254
"ZAJEZDNIA OSTROBRAMSKA",22248
"CM. ŻYDOWSKI",22232
"WITOLIN",22100
"REMBIELIŃSKA",22099
"REDUTA WOLSKA",21952
"DOLNA",21747
"CZARNOMORSKA",21672
"SZCZĘŚLIWICE",21523
"SZANCERA",21496
"ESPERANTO",21402
"RATUSZOWA-ZOO",21223
"MORSKIE OKO",21177
"BEŁDAN",21170
"SYNÓW PUŁKU",20913
"SZCZĘŚLIWICKA",20901
"PARK MOCZYDŁO",20879
"MICHALIN",20756
"MAJAKOWSKIEGO",20438
"TARCHOMIN",20345
"SZOBERA",20310
"GOTARDA",20278
"WAWRZYSZEWSKA",20238
"WAŁ GOCŁAWSKI",20203
"URSYNÓW PŁN.",19890
"DĄBRÓWKA WIŚLANA",19884
"NOWOLIPKI",19785
"MYŚLIBORSKA",19668
"CH MARKI",19657
"STEGNY",19587
"SULEJÓWEK MIŁOSNA",19568
"AFRYKAŃSKA",19564
"BOGUSŁAWSKIEGO",19550
"ŚWIDER",19543
"DOMANIEWSKA",19403
"SZWEDZKA",19319
"HALE BANACHA",19237
"CODZIENNA",19104
"SZASERÓW-SZPITAL",19103
"CONRADA",19092
"WARSZAWA CENTRALNA",19087
"MURANÓW",19013
"SASANKI",19010
"MIĘDZYBORSKA",18920
"CHOMICZÓWKA",18702
"BARTYCKA",18684
"KENIGA",18634
"BIAŁOWIEJSKA",18602
"Warszawa Reduta Ordona",18444
"WŁOCHY-RATUSZ",18396
"WARSZAWA WAWER",18330
"DEOTYMY",18204
"HORBACZEWSKIEGO",18187
"POBORZAŃSKA",18172
"RZESZOTARSKIEJ",18124
"CM. WAWRZYSZEWSKI",18072
"SGGW-REKTORAT",18056
"OS. DERBY",18016
"KRAKOWIAKÓW",17993
"PŁOCKA-SZPITAL",17931
"HOTEL BRISTOL",17925
"BATUMI",17915
"DWERNICKIEGO",17836
"PŁOWIECKA",17759
"ORDONA",17687
"RAKOWIEC",17580
"TARGÓWEK-RATUSZ",17536
"ARCHIMEDESA",17521
"TOR STEGNY",17500
"MARYSIN",17478
"FOKSAL",17442
"ZAJEZDNIA PRAGA",17402
"KRÓLIKARNIA",17375
"PKP URSUS-NIEDŹWIADEK",17342
"UMIŃSKIEGO",17263
"WOŁOMIN SŁONECZNA",17251
"KAZUBÓW",17124
"PL. HALLERA",17117
"CHOTOMÓW",17071
"SKOROSZEWSKA",17029
"IWICKA",16955
"RYŻOWA",16952
"WARSZAWA LOTN. CHOPINA",16894
"ŚW. WINCENTEGO",16885
"SARMACKA",16881
"STARE BEMOWO",16807
"DURACZA",16792
"KOŁO",16752
"GRODKOWSKA",16739
"CH TARGÓWEK",16721
"GORASZEWSKA",16674
"W-WA WESOŁA",16653
"AWF",16627
"CM. WŁOSKI",16602
"CH BLUE CITY",16571
"CENTRUM NAUKI KOPERNIK",16555
"ŻYTNIA",16517
"ZIELONKA",16483
"KS. POPIEŁUSZKI",16465
"ABRAHAMA",16454
"Warszawa Raków",16098
"WARSZAWA WESOŁA",16061
"WARSZAWA MIEDZESZYN",16027
"PKP SŁUŻEWIEC",16004
"OS. POTOK",16004
"GRENADIERÓW",15993
"PKP WŁOCHY",15945
"GWIAŹDZISTA",15918
"CZŁUCHOWSKA",15817
"KONDRATOWICZA",15786
"ASPEKT",15759
"MARYNIN",15705
"POMNIK LOTNIKA",15687
"ŁOPUSZAŃSKA",15652
"SZPITAL MSW",15621
"PKP URSUS",15556
"WSPÓLNA",15545
"POPIELA",15510
"TORWAR",15509
"JULIANOWSKA",15474
"WOŁOSKA",15406
"CM. WOLSKI",15301
"KOBYŁKA-OSSÓW",15272
"ŁOJEWSKA",15157
"BERESTECKA",15064
"ELBLĄSKA",14971
"WARSZAWA ANIN",14968
"CIEPŁOWNIA WOLA",14923
"KIELECKA",14909
"KOMORÓW",14879
"PŁOCHOCIN",14687
"ZALESIE GÓRNE",14624
"MALBORSKA",14613
"STARA MIŁOSNA",14536
"LEGIONOWO",14440
"BIBLIOTEKA NARODOWA",14436
"SZWOLEŻERÓW",14362
